Year,Code,Industry,Jan. 2022,Feb. 2022,Mar. 2022,Apr. 2022,May 2022,Jun. 2022,Jul. 2022,Aug. 2022,Sep. 2022,Oct. 2022,Nov. 2022,Dec. 2022,TOTAL,
2017,441,Motor vehicle and parts dealers,"99,447","98,751","96,817","97,294","97,721","98,796","98,855","96,824","100,845","101,666","100,675","100,582",,
2017,"4411,4412",Automobile and other motor vehicle dealers,"91,682","91,073","89,052","89,472","89,954","91,084","91,049","89,120","92,963","93,918","92,781","92,463",,
2017,4413,"Automotive parts, acc., and tire stores","7,765","7,678","7,765","7,822","7,767","7,712","7,806","7,704","7,882","7,748","7,894","8,119",,
2017,"442,443","Furniture, home furn, electronics, and appliance stores","17,201","17,111","17,389","17,225","17,233","17,240","17,103","17,175","17,194","17,522","17,769","17,869",,
2017,442,Furniture and home furnishings stores,"9,493","9,490","9,569","9,399","9,485","9,573","9,522","9,591","9,542","9,810","9,929","10,063",,
2017,443,Electronics and appliance stores,"7,708","7,621","7,820","7,826","7,748","7,667","7,581","7,584","7,652","7,712","7,840","7,806",,
2017,444,Building mat. and garden equip. and supplies dealers,"28,433","28,862","28,685","29,038","28,746","28,785","28,932","28,927","29,938","29,556","29,984","30,077",,
2017,4441,Building mat. and supplies dealers,"25,153","25,324","25,057","25,247","25,005","25,115","25,136","25,214","26,309","26,026","26,338","26,361",,
2017,445,Food and beverage stores,"59,571","59,914","60,341","60,481","60,619","60,369","60,397","60,708","61,324","61,606","61,678","62,304",,
2017,4451,Grocery stores,"53,315","53,686","54,116","54,199","54,316","54,097","54,139","54,376","55,013","55,202","55,241","55,886",,
2017,4453,"Beer, wine and liquor stores","4,329","4,302","4,314","4,372","4,378","4,373","4,371","4,403","4,410","4,489","4,483","4,458",,
2017,446,Health and personal care stores,"26,150","26,426","26,560","26,749","26,782","27,008","27,047","27,339","27,402","27,578","27,748","27,633",,
2017,44611,Pharmacies and drug stores,"21,659","21,939","22,070","22,239","22,319","22,598","22,419","22,641","22,810","22,946","22,968","22,916",,
2017,447,Gasoline stations,"39,958","40,203","39,907","39,786","38,137","37,502","37,447","38,625","40,778","40,774","41,817","42,651",,
